#anonymous_set_id	scryfall_set_id
2019B	97a7fd84-8d89-45a3-b48b-c951f6a3f9f1
2019C	9981777b-983e-4f17-b9b1-fe32cf243e23
2019D	ee044f0b-e101-4ead-8d0e-aa510aad4277
2019E	d7efccd6-55bc-4fb8-9138-e72577510a99
2019F	4a787360-9767-4f44-80b1-2405dc5e39c7
2019G	38346fd1-60eb-4f27-850d-81c9967e8c3e
2019H	0fa3ccbb-d86d-4a2e-a55e-c4979c4feeb2
2019I	a90a7b2f-9dd8-4fc7-9f7d-8ea2797ec782
2019J	d264b61b-bfb3-4388-be42-e34a1eaa00c2
2019K	8ffdef42-91f1-429f-bcd0-15778c57845c
2019L	a72727dd-dbab-4158-a772-a08825735169
2019M	4d92a8a7-ccb0-437d-abdc-9d70fc5ed672
2020A	66d787e4-101d-4f72-a4ed-7c38df9b99fe
2020B	5f23a78d-cda1-462a-8be3-a62b40c34913
2020C	8fe3f935-7c8d-4a4e-a051-c0b0f251d262
2020D	fccfdf97-f5f2-43b4-9be9-9255414e6633
2020E	f60ec786-1f8d-42f7-9abc-0d880fe243f6
2020F	19feda43-15ab-427e-a0e4-148a4bf2b03a
2020G	bc94aba1-7376-4e02-a12d-3a2efb66ab0f
2020H	0f6ccf25-a627-4263-86df-5757137f1696
2020I	dea849fc-18c3-4327-8c1e-72583d6f08e8
2020J	fb2d12a7-a385-4ec0-b7fd-e2ff1796d7a8
2020K	76c61d42-610a-4b5a-880a-7a1fc1222f81
2020L	3bcb5e53-5ebb-4ff4-b76a-fc378bca0157
2020M	25c6bd9b-4e10-40a4-b9b5-0f4d9b5852a1
2020N	f4e01fa7-b254-42dd-849f-69b58027a8c4
2020O	39de6fbf-1f11-48d0-8f04-f0407f6a0732
2021A	640891dc-bc2d-4f9d-aee9-6e057f1fa60c
2021B	d532ef25-e52b-4276-941a-3a1c095544b0
2021C	43057fad-b1c1-437f-bc48-0045bce6d8c9
2021D	27bf6dbd-a9e1-4904-afa7-d28fc7745c4f
